platform,username,rating,tanggal,content,cleaning,case_folding,normalization,tokenization,stopword_removal,stemming,label,sentimen_pred
Shopee,n*****a,5.0,2024-12-15T14:24:15.000Z,"Tekstur:kenyal, kental dan wangi
Aroma:ada aroma yang wangi tapi tidak pekat
Efek:menghaluskan rambut dan menyehatkan rambut

Pengiriman cepat, packing aman, respon seller baik, sudah sering pakai shrd, bagus bgt utk rambut yang rusak",Tekstur kenyal kental dan wangi Aroma ada aroma yang wangi tapi tidak pekat Efek menghaluskan rambut dan menyehatkan rambut Pengiriman cepat packing aman respon seller baik sudah sering pakai shrd bagus bgt utk rambut yang rusak,tekstur kenyal kental dan wangi aroma ada aroma yang wangi tapi tidak pekat efek menghaluskan rambut dan menyehatkan rambut pengiriman cepat packing aman respon seller baik sudah sering pakai shrd bagus bgt utk rambut yang rusak,tekstur kenyal kental dan wangi aroma ada aroma yang wangi tapi tidak pekat efek menghaluskan rambut dan menyehatkan rambut pengiriman cepat packing aman respon seller baik sudah sering pakai shrd bagus banget untuk rambut yang rusak,"['tekstur', 'kenyal', 'kental', 'dan', 'wangi', 'aroma', 'ada', 'aroma', 'yang', 'wangi', 'tapi', 'tidak', 'pekat', 'efek', 'menghaluskan', 'rambut', 'dan', 'menyehatkan', 'rambut', 'pengiriman', 'cepat', 'packing', 'aman', 'respon', 'seller', 'baik', 'sudah', 'sering', 'pakai', 'shrd', 'bagus', 'banget', 'untuk', 'rambut', 'yang', 'rusak']","['tekstur', 'kenyal', 'kental', 'wangi', 'aroma', 'aroma', 'wangi', 'tidak', 'pekat', 'efek', 'menghaluskan', 'rambut', 'menyehatkan', 'rambut', 'pengiriman', 'cepat', 'packing', 'aman', 'respon', 'seller', 'baik', 'sering', 'pakai', 'shrd', 'bagus', 'banget', 'rambut', 'rusak']","['tekstur', 'kenyal', 'kental', 'wangi', 'aroma', 'aroma', 'wangi', 'tidak', 'pekat', 'efek', 'halus', 'rambut', 'sehat', 'rambut', 'kirim', 'cepat', 'packing', 'aman', 'respon', 'seller', 'baik', 'sering', 'pakai', 'shrd', 'bagus', 'banget', 'rambut', 'rusak']",Positif,Positif
Shopee,e*****6,5.0,2024-10-23T06:14:33.000Z,"Tekstur:ringan
Aroma:tidak terlalu menyengat dan tidak terlalu harum
Efek:memberikan hasil rambut lembut

Produk bagus, Produk ok, Produk tidak mengecewakan, produk sesuai dengan harga, semuanya bagus, kemasan packing rapi, pengiriman barang bagus, harga terjangkau, rekomendasi untuk membeli kembali ke toko ini, semoga bermanfaat untuk dipakai, pembelian ke dua dan emang bikin rambut mengembang jadi kempes dan halus",Tekstur ringan Aroma tidak terlalu menyengat dan tidak terlalu harum Efek memberikan hasil rambut lembut Produk bagus Produk ok Produk tidak mengecewakan produk sesuai dengan harga semuanya bagus kemasan packing rapi pengiriman barang bagus harga terjangkau rekomendasi untuk membeli kembali ke toko ini semoga bermanfaat untuk dipakai pembelian ke dua dan emang bikin rambut mengembang jadi kempes dan halus,tekstur ringan aroma tidak terlalu menyengat dan tidak terlalu harum efek memberikan hasil rambut lembut produk bagus produk ok produk tidak mengecewakan produk sesuai dengan harga semuanya bagus kemasan packing rapi pengiriman barang bagus harga terjangkau rekomendasi untuk membeli kembali ke toko ini semoga bermanfaat untuk dipakai pembelian ke dua dan emang bikin rambut mengembang jadi kempes dan halus,tekstur ringan aroma tidak terlalu menyengat dan tidak terlalu harum efek memberikan hasil rambut lembut produk bagus produk oke produk tidak mengecewakan produk sesuai dengan harga semuanya bagus kemasan packing rapi pengiriman barang bagus harga terjangkau rekomendasi untuk membeli kembali ke toko ini semoga bermanfaat untuk dipakai pembelian ke dua dan memang bikin rambut mengembang jadi kempes dan halus,"['tekstur', 'ringan', 'aroma', 'tidak', 'terlalu', 'menyengat', 'dan', 'tidak', 'terlalu', 'harum', 'efek', 'memberikan', 'hasil', 'rambut', 'lembut', 'produk', 'bagus', 'produk', 'oke', 'produk', 'tidak', 'mengecewakan', 'produk', 'sesuai', 'dengan', 'harga', 'semuanya', 'bagus', 'kemasan', 'packing', 'rapi', 'pengiriman', 'barang', 'bagus', 'harga', 'terjangkau', 'rekomendasi', 'untuk', 'membeli', 'kembali', 'ke', 'toko', 'ini', 'semoga', 'bermanfaat', 'untuk', 'dipakai', 'pembelian', 'ke', 'dua', 'dan', 'memang', 'bikin', 'rambut', 'mengembang', 'jadi', 'kempes', 'dan', 'halus']","['tekstur', 'ringan', 'aroma', 'tidak', 'terlalu', 'menyengat', 'tidak', 'terlalu', 'harum', 'efek', 'memberikan', 'hasil', 'rambut', 'lembut', 'produk', 'bagus', 'produk', 'oke', 'produk', 'tidak', 'mengecewakan', 'produk', 'sesuai', 'harga', 'semuanya', 'bagus', 'kemasan', 'packing', 'rapi', 'pengiriman', 'barang', 'bagus', 'harga', 'terjangkau', 'rekomendasi', 'membeli', 'toko', 'semoga', 'bermanfaat', 'dipakai', 'pembelian', 'memang', 'bikin', 'rambut', 'mengembang', 'jadi', 'kempes', 'halus']","['tekstur', 'ringan', 'aroma', 'tidak', 'terlalu', 'sengat', 'tidak', 'terlalu', 'harum', 'efek', 'beri', 'hasil', 'rambut', 'lembut', 'produk', 'bagus', 'produk', 'oke', 'produk', 'tidak', 'kecewa', 'produk', 'sesuai', 'harga', 'semua', 'bagus', 'kemas', 'packing', 'rapi', 'kirim', 'barang', 'bagus', 'harga', 'jangkau', 'rekomendasi', 'beli', 'toko', 'moga', 'manfaat', 'pakai', 'beli', 'memang', 'bikin', 'rambut', 'kembang', 'jadi', 'kempes', 'halus']",Positif,Positif
Shopee,n*****n,5.0,2023-07-15T11:26:21.000Z,"Tekstur:Lembut
Performa:Bagus

Isinya penuh banyak, kemasan pengiriman bagus dan aman, dipake lembut wangi, semoga bakal lebih bagus pake ini untuk rambut singa ini wkwk dan adminnya ramah sekali cepat balas pengiriman oke 💙👍🏻",Tekstur Lembut Performa Bagus Isinya penuh banyak kemasan pengiriman bagus dan aman dipake lembut wangi semoga bakal lebih bagus pake ini untuk rambut singa ini wkwk dan adminnya ramah sekali cepat balas pengiriman oke,tekstur lembut performa bagus isinya penuh banyak kemasan pengiriman bagus dan aman dipake lembut wangi semoga bakal lebih bagus pake ini untuk rambut singa ini wkwk dan adminnya ramah sekali cepat balas pengiriman oke,tekstur lembut performa bagus isinya penuh banyak kemasan pengiriman bagus dan aman dipake lembut wangi semoga bakal lebih bagus pakai ini untuk rambut singa ini wkwk dan adminnya ramah sekali cepat balas pengiriman oke,"['tekstur', 'lembut', 'performa', 'bagus', 'isinya', 'penuh', 'banyak', 'kemasan', 'pengiriman', 'bagus', 'dan', 'aman', 'dipake', 'lembut', 'wangi', 'semoga', 'bakal', 'lebih', 'bagus', 'pakai', 'ini', 'untuk', 'rambut', 'singa', 'ini', 'wkwk', 'dan', 'adminnya', 'ramah', 'sekali', 'cepat', 'balas', 'pengiriman', 'oke']","['tekstur', 'lembut', 'performa', 'bagus', 'isinya', 'penuh', 'banyak', 'kemasan', 'pengiriman', 'bagus', 'aman', 'dipake', 'lembut', 'wangi', 'semoga', 'bakal', 'lebih', 'bagus', 'pakai', 'rambut', 'singa', 'wkwk', 'adminnya', 'ramah', 'sekali', 'cepat', 'balas', 'pengiriman', 'oke']","['tekstur', 'lembut', 'performa', 'bagus', 'isi', 'penuh', 'banyak', 'kemas', 'kirim', 'bagus', 'aman', 'dipake', 'lembut', 'wangi', 'moga', 'bakal', 'lebih', 'bagus', 'pakai', 'rambut', 'singa', 'wkwk', 'adminnya', 'ramah', 'sekali', 'cepat', 'balas', 'kirim', 'oke']",Positif,Positif
Shopee,b*****o,5.0,2024-07-13T05:38:52.000Z,"Tekstur:padat dan tahan lama
Aroma:lembut tidak menyengat
Efek:memberikan efek yang diinginkan

Maaf baru review, tapi overall semuanya bagus. Paket diterima cepat. Sesuai gambar. Penjual ramah. Modelnya bagus dan menarik. Harganya juga murah dari yg toko toko yang lain. Next kalau beli lagi di toko ini☺️. Thank you seluler",Tekstur padat dan tahan lama Aroma lembut tidak menyengat Efek memberikan efek yang diinginkan Maaf baru review tapi overall semuanya bagus Paket diterima cepat Sesuai gambar Penjual ramah Modelnya bagus dan menarik Harganya juga murah dari yg toko toko yang lain Next kalau beli lagi di toko ini Thank you seluler,tekstur padat dan tahan lama aroma lembut tidak menyengat efek memberikan efek yang diinginkan maaf baru review tapi overall semuanya bagus paket diterima cepat sesuai gambar penjual ramah modelnya bagus dan menarik harganya juga murah dari yg toko toko yang lain next kalau beli lagi di toko ini thank you seluler,tekstur padat dan tahan lama aroma lembut tidak menyengat efek memberikan efek yang diinginkan maaf baru review tapi overall semuanya bagus paket diterima cepat sesuai gambar penjual ramah modelnya bagus dan menarik harganya juga murah dari yang toko toko yang lain next kalau beli lagi di toko ini thank you seluler,"['tekstur', 'padat', 'dan', 'tahan', 'lama', 'aroma', 'lembut', 'tidak', 'menyengat', 'efek', 'memberikan', 'efek', 'yang', 'diinginkan', 'maaf', 'baru', 'review', 'tapi', 'overall', 'semuanya', 'bagus', 'paket', 'diterima', 'cepat', 'sesuai', 'gambar', 'penjual', 'ramah', 'modelnya', 'bagus', 'dan', 'menarik', 'harganya', 'juga', 'murah', 'dari', 'yang', 'toko', 'toko', 'yang', 'lain', 'next', 'kalau', 'beli', 'lagi', 'di', 'toko', 'ini', 'thank', 'you', 'seluler']","['tekstur', 'padat', 'tahan', 'lama', 'aroma', 'lembut', 'tidak', 'menyengat', 'efek', 'memberikan', 'efek', 'diinginkan', 'maaf', 'baru', 'review', 'overall', 'semuanya', 'bagus', 'paket', 'diterima', 'cepat', 'sesuai', 'gambar', 'penjual', 'ramah', 'modelnya', 'bagus', 'menarik', 'harganya', 'murah', 'toko', 'toko', 'next', 'kalau', 'beli', 'toko', 'thank', 'you', 'seluler']","['tekstur', 'padat', 'tahan', 'lama', 'aroma', 'lembut', 'tidak', 'sengat', 'efek', 'beri', 'efek', 'ingin', 'maaf', 'baru', 'review', 'overall', 'semua', 'bagus', 'paket', 'terima', 'cepat', 'sesuai', 'gambar', 'jual', 'ramah', 'model', 'bagus', 'tarik', 'harga', 'murah', 'toko', 'toko', 'next', 'kalau', 'beli', 'toko', 'thank', 'you', 'seluler']",Positif,Positif
Shopee,d*****5,5.0,2023-01-09T05:05:42.000Z,"Tekstur:krim
Performa:bagus
Cocok Untuk:rambut

Barang sampai dengan aman, dikemas rapi  dikirim cepat, kualitas bahan, ukuran , & warna bahan sesuai deskripsi saat live, seller ramah.",Tekstur krim Performa bagus Cocok Untuk rambut Barang sampai dengan aman dikemas rapi dikirim cepat kualitas bahan ukuran warna bahan sesuai deskripsi saat live seller ramah,tekstur krim performa bagus cocok untuk rambut barang sampai dengan aman dikemas rapi dikirim cepat kualitas bahan ukuran warna bahan sesuai deskripsi saat live seller ramah,tekstur krim performa bagus cocok untuk rambut barang sampai dengan aman dikemas rapi dikirim cepat kualitas bahan ukuran warna bahan sesuai deskripsi saat live seller ramah,"['tekstur', 'krim', 'performa', 'bagus', 'cocok', 'untuk', 'rambut', 'barang', 'sampai', 'dengan', 'aman', 'dikemas', 'rapi', 'dikirim', 'cepat', 'kualitas', 'bahan', 'ukuran', 'warna', 'bahan', 'sesuai', 'deskripsi', 'saat', 'live', 'seller', 'ramah']","['tekstur', 'krim', 'performa', 'bagus', 'cocok', 'rambut', 'barang', 'aman', 'dikemas', 'rapi', 'dikirim', 'cepat', 'kualitas', 'bahan', 'ukuran', 'warna', 'bahan', 'sesuai', 'deskripsi', 'live', 'seller', 'ramah']","['tekstur', 'krim', 'performa', 'bagus', 'cocok', 'rambut', 'barang', 'aman', 'kemas', 'rapi', 'kirim', 'cepat', 'kualitas', 'bahan', 'ukur', 'warna', 'bahan', 'sesuai', 'deskripsi', 'live', 'seller', 'ramah']",Positif,Positif
Shopee,shakawiradanapranoto,5.0,2022-10-05T13:32:14.000Z,"Tekstur:halus
Performa:bagus
Cocok Untuk:Rambut kering

Pengemasan cepat dan pengiriman sangat baik. Packaging pake box besar, bubble wrap dan box bawaan. Wanginya enak banget. Berfungsi sebagaimana mestinya. Dapet shampoo 2 sachet. Thank you.",Tekstur halus Performa bagus Cocok Untuk Rambut kering Pengemasan cepat dan pengiriman sangat baik Packaging pake box besar bubble wrap dan box bawaan Wanginya enak banget Berfungsi sebagaimana mestinya Dapet shampoo sachet Thank you,tekstur halus performa bagus cocok untuk rambut kering pengemasan cepat dan pengiriman sangat baik packaging pake box besar bubble wrap dan box bawaan wanginya enak banget berfungsi sebagaimana mestinya dapet shampoo sachet thank you,tekstur halus performa bagus cocok untuk rambut kering pengemasan cepat dan pengiriman sangat baik packaging pakai box besar bubble wrap dan box bawaan wanginya enak banget berfungsi sebagaimana mestinya dapet shampoo sachet thank you,"['tekstur', 'halus', 'performa', 'bagus', 'cocok', 'untuk', 'rambut', 'kering', 'pengemasan', 'cepat', 'dan', 'pengiriman', 'sangat', 'baik', 'packaging', 'pakai', 'box', 'besar', 'bubble', 'wrap', 'dan', 'box', 'bawaan', 'wanginya', 'enak', 'banget', 'berfungsi', 'sebagaimana', 'mestinya', 'dapet', 'shampoo', 'sachet', 'thank', 'you']","['tekstur', 'halus', 'performa', 'bagus', 'cocok', 'rambut', 'kering', 'pengemasan', 'cepat', 'pengiriman', 'sangat', 'baik', 'packaging', 'pakai', 'box', 'besar', 'bubble', 'wrap', 'box', 'bawaan', 'wanginya', 'enak', 'banget', 'berfungsi', 'sebagaimana', 'mestinya', 'dapet', 'shampoo', 'sachet', 'thank', 'you']","['tekstur', 'halus', 'performa', 'bagus', 'cocok', 'rambut', 'kering', 'emas', 'cepat', 'kirim', 'sangat', 'baik', 'packaging', 'pakai', 'box', 'besar', 'bubble', 'wrap', 'box', 'bawa', 'wangi', 'enak', 'banget', 'fungsi', 'bagaimana', 'mesti', 'dapet', 'shampoo', 'sachet', 'thank', 'you']",Positif,Positif
Shopee,vanveldes,5.0,2023-11-28T18:09:13.000Z,"packing super aman, pengiriman super cepet, thankyou seller 🙂",packing super aman pengiriman super cepet thankyou seller,packing super aman pengiriman super cepet thankyou seller,packing super aman pengiriman super cepat terima kasih seller,"['packing', 'super', 'aman', 'pengiriman', 'super', 'cepat', 'terima', 'kasih', 'seller']","['packing', 'super', 'aman', 'pengiriman', 'super', 'cepat', 'terima', 'kasih', 'seller']","['packing', 'super', 'aman', 'kirim', 'super', 'cepat', 'terima', 'kasih', 'seller']",Positif,Positif
Shopee,j*****6,4.0,2024-01-01T02:21:35.000Z,Barang sesuai dengan pesanan packing rapih pengiriman cepat sampainya,Barang sesuai dengan pesanan packing rapih pengiriman cepat sampainya,barang sesuai dengan pesanan packing rapih pengiriman cepat sampainya,barang sesuai dengan pesanan packing rapih pengiriman cepat sampainya,"['barang', 'sesuai', 'dengan', 'pesanan', 'packing', 'rapih', 'pengiriman', 'cepat', 'sampainya']","['barang', 'sesuai', 'pesanan', 'packing', 'rapih', 'pengiriman', 'cepat', 'sampainya']","['barang', 'sesuai', 'pesan', 'packing', 'rapih', 'kirim', 'cepat', 'sampai']",Positif,Positif
Shopee,k*****a,5.0,2024-05-08T12:30:16.000Z,Pengiriman cepat barang bagus aman packing rapih dan sesuai,Pengiriman cepat barang bagus aman packing rapih dan sesuai,pengiriman cepat barang bagus aman packing rapih dan sesuai,pengiriman cepat barang bagus aman packing rapih dan sesuai,"['pengiriman', 'cepat', 'barang', 'bagus', 'aman', 'packing', 'rapih', 'dan', 'sesuai']","['pengiriman', 'cepat', 'barang', 'bagus', 'aman', 'packing', 'rapih', 'sesuai']","['kirim', 'cepat', 'barang', 'bagus', 'aman', 'packing', 'rapih', 'sesuai']",Positif,Positif
Shopee,u*****u,5.0,2024-11-05T14:00:48.000Z,"Tekstur:cair tapi kental
Aroma:wangi
Efek:good

Repurchase kesekian kalinya!",Tekstur cair tapi kental Aroma wangi Efek good Repurchase kesekian kalinya,tekstur cair tapi kental aroma wangi efek good repurchase kesekian kalinya,tekstur cair tapi kental aroma wangi efek bagus repurchase kesekian kalinya,"['tekstur', 'cair', 'tapi', 'kental', 'aroma', 'wangi', 'efek', 'bagus', 'repurchase', 'kesekian', 'kalinya']","['tekstur', 'cair', 'kental', 'aroma', 'wangi', 'efek', 'bagus', 'repurchase', 'kesekian', 'kalinya']","['tekstur', 'cair', 'kental', 'aroma', 'wangi', 'efek', 'bagus', 'repurchase', 'sekian', 'kali']",Positif,Positif
